type,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/name,properties/context,properties/citycode,properties/depcode
Feature,Point,2.304774541,48.766610349,Aire de Service du Parc / All̩e des Quatre Vents,"Antony, Hauts-de-Seine",92002,92
Feature,Point,2.306390985,48.765722101,Aire de Service du Parc / Avenue Le Brun D77,"Antony, Hauts-de-Seine",92002,92
Feature,Point,2.288674973,48.750709601,All̩e Abraham et Esther Ploktine / All̩e Diderot,"Antony, Hauts-de-Seine",92002,92
Feature,Point,2.305548624,48.754765785,All̩e Astrida / Avenue Aristide Briand D920,"Antony, Hauts-de-Seine",92002,92
Feature,Point,2.306714055,48.740616356,All̩e Beauregard / Rue des Rabats,"Antony, Hauts-de-Seine",92002,92
Feature,Point,2.300858622,48.765419395,All̩e Bossue / Parcours Sportif,"Antony, Hauts-de-Seine",92002,92
Feature,Point,2.303406932,48.737562915,All̩e Chanteclair / Rue des Rabats,"Antony, Hauts-de-Seine",92002,92
Feature,Point,2.283542817,48.750383596,All̩e Charles Perrault / Chemin de Moricq,"Antony, Hauts-de-Seine",92002,92
Feature,Point,2.283581876,48.750343518,All̩e Charles Perrault / Rue de la Tour d'Argent,"Antony, Hauts-de-Seine",92002,92
Feature,Point,2.312086456,48.763429748,All̩e Christian d'Oriola / Rue d'Olomouc,"Antony, Hauts-de-Seine",92002,92
Feature,Point,2.278171283,48.758307923,All̩e d'Arz / All̩e de la Puisaye,"Antony, Hauts-de-Seine",92002,92
Feature,Point,2.289889335,48.737214716,All̩e de l'Adour / Rue Anatole France,"Antony, Hauts-de-Seine",92002,92
Feature,Point,2.287104399,48.73494604,All̩e de l'Est̩rel / All̩e des Irlandais,"Antony, Hauts-de-Seine",92002,92
Feature,Point,2.285182513,48.735004038,All̩e de l'Est̩rel / Avenue du Noyer Dor̩,"Antony, Hauts-de-Seine",92002,92
Feature,Point,2.28707112,48.734996308,All̩e de l'Est̩rel / Avenue du Pr̩sident J.F. Kennedy D66,"Antony, Hauts-de-Seine",92002,92
Feature,Point,2.286290133,48.735360392,All̩e de l'Est̩rel / Mail Robert Doisneau,"Antony, Hauts-de-Seine",92002,92
Feature,Point,2.285647781,48.74209359,All̩e de l'Herbier / Rue Adolphe Pajeaud D67A,"Antony, Hauts-de-Seine",92002,92
Feature,Point,2.285631083,48.742100101,All̩e de l'Herbier / Rue Georges Suant D63,"Antony, Hauts-de-Seine",92002,92
Feature,Point,2.287206515,48.740043982,All̩e de l'Herbier / Rue Pierre Vermeir,"Antony, Hauts-de-Seine",92002,92
Feature,Point,2.300695803,48.765235536,All̩e de la Faisanderie / All̩e Bossue,"Antony, Hauts-de-Seine",92002,92
Feature,Point,2.302981682,48.765573999,All̩e de la Faisanderie / All̩e de la Patte d'Oie,"Antony, Hauts-de-Seine",92002,92
Feature,Point,2.304300351,48.765809584,All̩e de la Faisanderie / All̩e des Quatre Vents,"Antony, Hauts-de-Seine",92002,92
