latitude;longitude;intersection;nb_traversees;equipe
48.8515723;2.1909292;2277726038;0;2
48.8392249;2.1886633;2382759589;0;1
48.8384616;2.1713944;2408678012;1;5
48.84659;2.1886953;2413509122;0;3
48.8546009;2.1977253;2502685439;2;2
48.8382568;2.1820847;2515343419;1;1
48.8469624;2.1961788;2697870081;0;2
48.8466002;2.1978207;2697870116;0;2
48.847312;2.1975897;2697870126;1;2
48.8412345;2.1916603;3296686771;0;4
48.8382849;2.1703809;4762797724;2;5
48.8414661;2.1920248;5310625215;0;4
48.8393163;2.188584;5316498448;1;1
48.851276;2.1922422;6359437469 / Rue du 19 Janvier / Rue du Marquis de Mores / Rue du Marquis de Mores / Rue du 19 Janvier;2;2
48.8506945;2.1943928;6359437472;0;2
48.8428077;2.1900227;6424651787;0;4
48.8478704;2.1913013;6437704540;0;2
48.8445494;2.1869476;6617132787;1;3
48.8442166;2.1855875;7003207813;1;3
48.8423101;2.1863232;7003207818;0;1
48.8456664;2.18836;7692413992 / Rue de l'Église / Rue de Suresnes;1;3
48.8393376;2.1888804;7856571444;0;1
48.8520827;2.2056025;8249786311;0;2
48.8519617;2.2049588;8249801425;0;2
48.841508;2.19855;9495458898;1;4
48.8427864;2.199084;9497795897;1;4
48.8516529;2.1909594;9498102943;0;2
48.8481161;2.1908155;9498134737;0;2
48.8458187;2.1877894;11436451280;0;3
48.8458756;2.1878179;11436451281;0;3
48.8522679;2.1963491;12162074708;1;2
48.8386709;2.1866881;12193940461 / Avenue Joffre / Avenue Pasteur / Avenue Joffre / Boulevard du Général de Gaulle D907 / Avenue Pasteur / Avenue Joffre / Avenue Pasteur / Boulevard du Général de Gaulle D907 / Boulevard du Général de Gaulle D907 / Avenue Joffre / Boulevard du Général de Gaulle D907 / Avenue Pasteur;1;1
48.8385855;2.18642;12193940467 / Avenue Joffre / Avenue Pasteur / Avenue Joffre / Boulevard du Général de Gaulle D907 / Avenue Pasteur / Avenue Joffre / Avenue Pasteur / Boulevard du Général de Gaulle D907 / Boulevard du Général de Gaulle D907 / Avenue Joffre / Boulevard du Général de Gaulle D907 / Avenue Pasteur;2;1
48.8384048;2.1866047;12193940471;1;1
48.8385895;2.1868131;12193940476 / Avenue Joffre / Avenue Pasteur / Avenue Joffre / Boulevard du Général de Gaulle D907 / Avenue Pasteur / Avenue Joffre / Avenue Pasteur / Boulevard du Général de Gaulle D907 / Boulevard du Général de Gaulle D907 / Avenue Joffre / Boulevard du Général de Gaulle D907 / Avenue Pasteur;1;1
48.8386775;2.1865872;12193940480 / Avenue Joffre / Avenue Pasteur / Avenue Joffre / Boulevard du Général de Gaulle D907 / Avenue Pasteur / Avenue Joffre / Avenue Pasteur / Boulevard du Général de Gaulle D907 / Boulevard du Général de Gaulle D907 / Avenue Joffre / Boulevard du Général de Gaulle D907 / Avenue Pasteur;2;1
48.8386468;2.1864836;12193940481 / Avenue Joffre / Avenue Pasteur / Avenue Joffre / Boulevard du Général de Gaulle D907 / Avenue Pasteur / Avenue Joffre / Avenue Pasteur / Boulevard du Général de Gaulle D907 / Boulevard du Général de Gaulle D907 / Avenue Joffre / Boulevard du Général de Gaulle D907 / Avenue Pasteur;2;1
48.8386294;2.1868782;12193955503;2;1
48.8387016;2.186768;12193955504 / Avenue Joffre / Avenue Pasteur / Avenue Joffre / Boulevard du Général de Gaulle D907 / Avenue Pasteur / Avenue Joffre / Avenue Pasteur / Boulevard du Général de Gaulle D907 / Boulevard du Général de Gaulle D907 / Avenue Joffre / Boulevard du Général de Gaulle D907 / Avenue Pasteur;2;1
48.8379835;2.1687119;12193955554;1;5
48.845527;2.1883159;12500686266 / Rue de l'Église / Rue de Suresnes;1;3
48.8433177;2.1846093;12943041286;1;1
48.8434717;2.1843902;12943041289;0;1
48.8415373;2.1988184;13305322433;0;4
48.8418947;2.1963758;13305322436;0;4
48.8421238;2.1962379;13305322437;1;4
48.8419871;2.1961028;13305322438;0;4
48.8392951;2.1887389;13305322440;0;1
48.8392242;2.1885031;13305322441;0;1
48.8415204;2.175467;13588951200;0;5
48.8414548;2.1767454;13588974506;0;5
48.8427027;2.1770442;13588974511;1;5
48.8442936;2.1816351;13588974569;0;3
48.8413351;2.1795187;13907583830;1;5
48.8413093;2.1795664;13907583831;1;5
48.8413377;2.1796349;13907583832;1;5
48.8413861;2.1795468;13907583842;1;5
48.849009323;2.201078516;Rue du 19 Janvier / Avenue du Maréchal Foch / Rue du 19 Janvier / Rue de la Porte Jaune D180 / Rue du 19 Janvier / Rue de Suresnes;1;2
