equipe,coordonnees,intersection,ordre,traversee,nb_traversee_reel,bande_de_guidage,bande_eveil,feu_parlant,commentaire
3,"48.812537804,2.302147628",Rue Germain Dardan / Rue Chopin,29,3,1,0,2,0,
3,"48.812846615,2.301586733",Rue Germain Dardan / Avenue Pierre Brossolette D906 / Rue Germain Dardan / Rue Étienne Dolet,30,1,3,0,2,2,
3,"48.811981488,2.300801906",Avenue Marx Dormoy D62 / Avenue Pierre Brossolette D906 / Avenue Marx Dormoy D62 / Rue Marc Séguin,31,1,,,,,
3,"48.811981488,2.300801906",Avenue Marx Dormoy D62 / Avenue Pierre Brossolette D906 / Avenue Marx Dormoy D62 / Rue Marc Séguin,31,2,,,,,
3,"48.811981488,2.300801906",Avenue Marx Dormoy D62 / Avenue Pierre Brossolette D906 / Avenue Marx Dormoy D62 / Rue Marc Séguin,31,3,,,,,
3,"48.811981488,2.300801906",Avenue Marx Dormoy D62 / Avenue Pierre Brossolette D906 / Avenue Marx Dormoy D62 / Rue Marc Séguin,31,4,3,0,6,2,
3,"48.811447791,2.300160817",Avenue de Paris D906 / Avenue Pierre Brossolette D906 / Avenue de Paris D906 / Boulevard Camélinat D61A / Avenue Pierre Brossolette D906 / Avenue de Paris / Avenue Pierre Brossolette D906 / Boulevard Camélinat D61A,32,1,,,,,
3,"48.811447791,2.300160817",Avenue de Paris D906 / Avenue Pierre Brossolette D906 / Avenue de Paris D906 / Boulevard Camélinat D61A / Avenue Pierre Brossolette D906 / Avenue de Paris / Avenue Pierre Brossolette D906 / Boulevard Camélinat D61A,32,2,,,,,
3,"48.811447791,2.300160817",Avenue de Paris D906 / Avenue Pierre Brossolette D906 / Avenue de Paris D906 / Boulevard Camélinat D61A / Avenue Pierre Brossolette D906 / Avenue de Paris / Avenue Pierre Brossolette D906 / Boulevard Camélinat D61A,32,3,,,,,
3,"48.811447791,2.300160817",Avenue de Paris D906 / Avenue Pierre Brossolette D906 / Avenue de Paris D906 / Boulevard Camélinat D61A / Avenue Pierre Brossolette D906 / Avenue de Paris / Avenue Pierre Brossolette D906 / Boulevard Camélinat D61A,32,4,2,0,7,1,
