longitude;latitude;intersection;Ville/Commune;equipe;pp_detecte;pp_confiance;nb_traversees;pp_image_ok;pp_erreur
2.197833848;48.847310081;Rue de Suresnes / Rue de la Porte Jaune D180;Garches, Hauts-de-Seine;2;True;0.52;5;True;
2.195242471;48.846903067;Rue de Suresnes / Rue des Quatre Vents / Rue des Quatre Vents / Rue de Suresnes;Garches, Hauts-de-Seine;2;True;0.57;3;True;
2.196229201;48.846961131;Rue de Verdun / Rue de Suresnes;Garches, Hauts-de-Seine;2;True;0.54;3;True;
2.186800801;48.840157822;Rue de Villeneuve / Avenue de Lorraine;Garches, Hauts-de-Seine;1;False;0.0;0;True;
2.187954821;48.840319225;Rue de Villeneuve / Rue Frédéric Clément / Rue Frédéric Clément / Rue de Villeneuve;Garches, Hauts-de-Seine;1;True;0.64;2;True;
2.198779044;48.851383729;Rue des Cliquets / Rue du Docteur Debat;Garches, Hauts-de-Seine;2;True;0.53;4;True;
2.195139358;48.852942424;Rue des Gaudonnes / Rue du Marquis de Mores / Rue des Suisses / Rue des Gaudonnes / Rue des Suisses / Rue du Marquis de Mores;Garches, Hauts-de-Seine;2;True;0.53;4;True;
2.188293149;48.839806385;Rue des Renaudières / Rue Frédéric Clément;Garches, Hauts-de-Seine;1;True;0.71;2;True;
2.197966217;48.854737482;Rue des Suisses / Rond-Point des Suisses;Garches, Hauts-de-Seine;2;True;0.52;6;True;
2.201078516;48.849009323;Rue du 19 Janvier / Avenue du Maréchal Foch / Rue du 19 Janvier / Rue de la Porte Jaune D180 / Rue du 19 Janvier / Rue de Suresnes;Garches, Hauts-de-Seine;2;True;0.6;5;True;
2.192264228;48.85128407;Rue du 19 Janvier / Rue du Marquis de Mores / Rue du Marquis de Mores / Rue du 19 Janvier;Garches, Hauts-de-Seine;2;True;0.51;2;True;
2.191505597;48.851467479;Rue du 19 Janvier / Rue Henri Regnault / Rue Henri Regnault / Rue du 19 Janvier;Garches, Hauts-de-Seine;2;True;0.49;3;True;
2.1947992;48.852761989;Rue du Docteur Debat / Rue du Marquis de Mores;Garches, Hauts-de-Seine;2;True;0.58;3;True;
2.183521369;48.843732399;Rue du Regard / Avenue des Coteaux;Garches, Hauts-de-Seine;1;True;0.45;1;True;
2.18466048;48.843391807;Rue du Regard / Grande Rue;Garches, Hauts-de-Seine;1;True;0.58;3;True;
2.19312167;48.84394074;Rue Guynemer / Rue des Cours Communes;Garches, Hauts-de-Seine;4;False;0.0;0;True;
2.18931481;48.84643316;Rue Henri Regnault / Rue de la Côte Saint-Louis;Garches, Hauts-de-Seine;4;True;0.45;3;True;
2.189276724;48.845875998;Rue Henri Regnault / Rue de Suresnes;Garches, Hauts-de-Seine;4;True;0.48;4;True;
2.190753239;48.850706431;Rue Henri Regnault / Rue des Quatre Vents;Garches, Hauts-de-Seine;2;True;0.49;4;True;
2.196303482;48.841979871;Rue Jean Mermoz / Avenue Lyautey;Garches, Hauts-de-Seine;4;True;0.47;3;True;
2.188910598;48.842852507;Rue Jean Mermoz / Rue Frédéric Clément;Garches, Hauts-de-Seine;4;True;0.42;3;True;
