intersection,latitude,longitude,nb_passages_pietons,latitude_pp1,longitude_pp1,latitude_pp2,longitude_pp2,latitude_pp3,longitude_pp3,latitude_pp4,longitude_pp4,latitude_pp5,longitude_pp5,latitude_pp6,longitude_pp6
313955532 / 1492329455 / 1492329457 / 5287704645 / 6308248534 / 7711404202,48.7820294,2.3432303,3,48.7819656,2.3430836,48.7819427,2.3431595,48.7820286,2.3430167,,,,,,
313955641,48.7841359,2.3388812,0,,,,,,,,,,,,
313955866,48.780043,2.3392091,3,48.7800805,2.3392982,48.7801802,2.339151,48.780112,2.3392798,,,,,,
313955869,48.779554,2.3388451,4,48.7796027,2.3388969,48.7793866,2.3387957,48.7795673,2.3387691,48.7796103,2.3388519,,,,
313956700 / 4343637296,48.7777315,2.3336536,2,48.7777752,2.3335868,48.7776904,2.3335791,,,,,,,,
313957097,48.7826029,2.3399877,5,48.7825008,2.3400397,48.7825559,2.3401197,48.7826621,2.3399438,48.7826931,2.3400547,48.7824866,2.3399013,,
313957105,48.7811773,2.3411658,3,48.7811913,2.3410811,48.781089,2.341163,48.7811193,2.3412844,,,,,,
313957121 / 317782314,48.781468,2.3395558,3,48.7812793,2.3394912,48.7814545,2.3396297,48.7813628,2.3395937,,,,,,
313957473,48.7839181,2.3409212,1,48.7839181,2.3409212,,,,,,,,,,
313957571,48.7862446,2.3431716,0,,,,,,,,,,,,
313957575 / 313957577,48.7844035,2.3424142,0,,,,,,,,,,,,
313957675,48.7857747,2.3419199,0,,,,,,,,,,,,
313957731 / 313957737 / 313957877 / 465656232,48.7860792,2.3419792,2,48.7859936,2.3420797,48.7859883,2.3421082,,,,,,,,
313957879 / 6285126022,48.7863766,2.3422077,2,48.7863643,2.3422976,48.7862895,2.3421814,,,,,,,,
313957881,48.7867419,2.3422712,0,,,,,,,,,,,,
313957975,48.7861275,2.3440258,0,,,,,,,,,,,,
313957980,48.7842122,2.3432337,0,,,,,,,,,,,,
313958035 / 313958036 / 313958468 / 313958559 / 313958618 / 1678178014,48.784313,2.3412229,3,48.7842199,2.3413514,48.784221,2.3412388,48.7841274,2.3411682,,,,,,
313958620,48.7848582,2.3415026,0,,,,,,,,,,,,
313958868 / 4279903405,48.774302,2.3397096,0,,,,,,,,,,,,
317131467,48.7718449,2.3265565,2,48.7717847,2.3267033,48.7717768,2.3264879,,,,,,,,
317131473,48.7704773,2.3315437,0,,,,,,,,,,,,
317131474,48.7703133,2.332321,0,,,,,,,,,,,,
