intersection,latitude,longitude,nb_passages_pietons,latitude_pp1,longitude_pp1,latitude_pp2,longitude_pp2,latitude_pp3,longitude_pp3,latitude_pp4,longitude_pp4,latitude_pp5,longitude_pp5
370317377 / 923034571,48.838202,2.1785396,2,48.8382541,2.1785679,48.8382006,2.1787501,,,,,,
370317568 / 459811660,48.8425062,2.1836529,0,,,,,,,,,,
370318232 / 12943041286 / 12943041289,48.843406,2.1846972,3,48.8434208,2.184631,48.8433523,2.1845734,48.8434294,2.1847205,,,,
370318244 / 370318256,48.8437208,2.1834864,0,,,,,,,,,,
370318258,48.8442764,2.1837607,1,48.8443103,2.1837885,,,,,,,,
370318268,48.843894,2.182568,0,,,,,,,,,,
370318269,48.8434033,2.1815651,0,,,,,,,,,,
370318306,48.8416544,2.1824415,2,48.8416862,2.1823828,48.8416907,2.1825049,,,,,,
370318331,48.8416893,2.1720289,5,48.8416275,2.1718948,48.8416192,2.172074,48.8417634,2.1719877,48.8417588,2.172153,48.8417012,2.1721785
370318370,48.8413851,2.1781028,2,48.8414317,2.1781052,48.8413826,2.178168,,,,,,
370318380,48.8421251,2.1781405,3,48.8422163,2.1781433,48.8420655,2.1781375,48.8421924,2.1780047,,,,
370322801 / 411072427 / 411072429 / 411072436,48.8430531,2.1744065,0,,,,,,,,,,
370322812,48.8415834,2.1742412,4,48.8416323,2.1742467,48.8415296,2.174235,48.8415877,2.1741658,48.8415788,2.1743307,,
370322813,48.8398487,2.1740405,1,48.8398526,2.1739492,,,,,,,,
370322861,48.8408634,2.1785505,0,,,,,,,,,,
370322864,48.8399,2.1736124,0,,,,,,,,,,
370323112 / 665877722,48.8436156,2.1781865,0,,,,,,,,,,
370323263,48.839189,2.1795605,0,,,,,,,,,,
370323279 / 666480635,48.8390887,2.1781411,0,,,,,,,,,,
370323308 / 666480636,48.8394861,2.1779236,0,,,,,,,,,,
370323313,48.8403997,2.17629,0,,,,,,,,,,
373461548,48.8483201,2.1904083,4,48.8483754,2.190291,48.8482703,2.1905059,48.8482843,2.1903556,48.8484319,2.1904652,,
373784769,48.8469392,2.1893415,1,48.8469658,2.1892497,,,,,,,,
374165081,48.847213,2.1862261,1,48.8472373,2.1862325,,,,,,,,
374167417,48.8443572,2.1882448,0,,,,,,,,,,
374167427,48.8431502,2.1865843,1,48.8433504,2.1866292,,,,,,,,
374217067 / 878171243 / 6617132787,48.8447519,2.1872039,0,,,,,,,,,,
375991460,48.8411175,2.1965495,1,48.841189,2.1965213,,,,,,,,
375991467,48.8429783,2.1954691,1,48.8429027,2.1955355,,,,,,,,
375993048 / 2697870081,48.8469776,2.1962535,2,48.8469892,2.1963122,48.846888,2.1962509,,,,,,
375995444,48.8436567,2.1922996,1,48.8436909,2.1923183,,,,,,,,
375995468,48.8439735,2.1931921,0,,,,,,,,,,
376013534,48.8436328,2.1867168,0,,,,,,,,,,
410636646,48.8485259,2.1828363,1,48.8486583,2.1829925,,,,,,,,
441767908,48.8444627,2.1986822,0,,,,,,,,,,
497498101 / 2382759589 / 5316498448 / 7856571444 / 13305322440 / 13305322441,48.8392637,2.1886343,1,48.8393163,2.188584,,,,,,,,
497498106,48.8400037,2.1918888,1,48.8400454,2.191849,,,,,,,,
571581192 / 571581338,48.8388891,2.1875697,0,,,,,,,,,,
622548875 / 923036006,48.8429081,2.1841376,2,48.8429725,2.1842151,48.8428846,2.1841796,,,,,,
622565462,48.8435067,2.1853789,0,,,,,,,,,,
622566153,48.8399786,2.1857396,4,48.8398778,2.1858535,48.8398524,2.185745,48.8399844,2.1858819,48.8399583,2.1856021,,
666459830,48.8446124,2.1868199,1,48.8444967,2.1869312,,,,,,,,
666480631,48.8409324,2.1717232,3,48.8408878,2.1717228,48.8409775,2.1717224,48.8409307,2.1717962,,,,
666480632,48.8408917,2.1724716,0,,,,,,,,,,
666480633 / 666480634 / 666480637,48.839418,2.1718879,0,,,,,,,,,,
923034694,48.8458722,2.1852234,0,,,,,,,,,,
923035410,48.843532,2.1928602,3,48.8435138,2.1929364,48.8435688,2.1928921,48.8434882,2.1928416,,,,
923035922,48.8382092,2.1810816,0,,,,,,,,,,
1188347050,48.8405214,2.1935892,1,48.8405981,2.193529,,,,,,,,
1868884403,48.8463084,2.1939392,0,,,,,,,,,,
1868884405,48.8463651,2.1945511,0,,,,,,,,,,
1868884699,48.8468883,2.1937372,1,48.8468084,2.1937817,,,,,,,,
1932413807,48.8475413,2.1820459,0,,,,,,,,,,
2169099690,48.8461721,2.1924826,1,48.8461599,2.1924164,,,,,,,,
2266470990,48.8520391,2.1969615,2,48.8520518,2.1969273,48.8520477,2.1968347,,,,,,
2277726038 / 9498102943,48.8515723,2.1909292,0,,,,,,,,,,
2413509122,48.84659,2.1886953,0,,,,,,,,,,
2502685439,48.8546009,2.1977253,2,48.8547282,2.1977611,48.854689,2.197905,,,,,,
2515343419,48.8382568,2.1820847,1,48.8383273,2.1820924,,,,,,,,
2697870116,48.8466002,2.1978207,0,,,,,,,,,,
2697870126,48.847312,2.1975897,1,48.847312,2.1975897,,,,,,,,
3296686771,48.8412345,2.1916603,0,,,,,,,,,,
4762797724,48.8382849,2.1703809,2,48.8383052,2.1704975,48.8383355,2.1703624,,,,,,
5310625215,48.8414661,2.1920248,0,,,,,,,,,,
6359437469,48.851276,2.1922422,1,48.8513311,2.1922917,,,,,,,,
6359437472,48.8506945,2.1943928,0,,,,,,,,,,
6424651787,48.8428077,2.1900227,0,,,,,,,,,,
6437704540,48.8478704,2.1913013,0,,,,,,,,,,
7003207818,48.8423101,2.1863232,0,,,,,,,,,,
8249801425,48.8519617,2.2049588,0,,,,,,,,,,
9495458898 / 13305322433,48.841508,2.19855,1,48.8414859,2.1983958,,,,,,,,
9497795897,48.8427864,2.199084,1,48.8427846,2.1989829,,,,,,,,
9498134737,48.8481161,2.1908155,0,,,,,,,,,,
11436451280 / 11436451281,48.8458187,2.1877894,0,,,,,,,,,,
12162074708,48.8522679,2.1963491,1,48.8521587,2.1965414,,,,,,,,
12193940461 / 12193940467 / 12193940476 / 12193940480 / 12193940481 / 12193955503 / 12193955504,48.8386709,2.1866881,2,48.8387174,2.1868524,48.8387553,2.1865369,,,,,,
12193940471,48.8384048,2.1866047,1,48.8383242,2.1865845,,,,,,,,
12193955554,48.8379835,2.1687119,1,48.8379779,2.16868,,,,,,,,
13588951200,48.8415204,2.175467,0,,,,,,,,,,
13588974506,48.8414548,2.1767454,0,,,,,,,,,,
13588974511,48.8427027,2.1770442,1,48.8426903,2.1770713,,,,,,,,
13588974569,48.8442936,2.1816351,0,,,,,,,,,,
13907583830 / 13907583831 / 13907583832 / 13907583842,48.8413351,2.1795187,3,48.8413344,2.1794168,48.8412741,2.1795422,48.8414284,2.1794991,,,,
