lat,lon,nom,image
48.842952116,2.195521507,Grande  Rue   /  Avenue  Lyautey,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\018_Grande_Rue_Avenue_Lyautey.jpg
48.849009323,2.201078516,Rue   du  19 Janvier  /  Avenue   du  Maréchal  Foch,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\019_Rue_du_19_Janvier_Avenue_du_Maréchal_Foch.jpg
48.850268929,2.202306711,Avenue  des  Jockeys  /  Rue   du   Docteur   Debat,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\020_Avenue_des_Jockeys_Rue_du_Docteur_Debat.jpg
48.838236962,2.182082693,Rue  de  Marnes  /  Boulevard  Raymond  Poincaré  D907,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\021_Rue_de_Marnes_Boulevard_Raymond_Poincaré_D907.jpg
48.838197559,2.181077932,Impasse Raymond  Poincaré  /  Boulevard  Raymond  Poincaré  D907,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\022_Impasse_Raymond_Poincaré_Boulevard_Raymond_Poincaré_D907.jpg
48.83818105,2.180266563,Avenue   du   Docteur  Roux  /  Boulevard  Raymond  Poincaré  D907,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\023_Avenue_du_Docteur_Roux_Boulevard_Raymond_Poincaré_D907.jpg
48.8391681,2.17950444,Avenue  Casimir  Davaine  /  Rue  Pasteur,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\024_Avenue_Casimir_Davaine_Rue_Pasteur.jpg
48.839556692,2.180061491,Avenue  Léonce  Bucquet  /  Avenue   du   Docteur  Roux / Avenue  Léonce  Bucquet  /  Rue  Pasteur / Rue  Pasteur  /  Avenue   du   Docteur  Roux,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\025_Avenue_Léonce_Bucquet_Avenue_du_Docteur_Roux_Avenue_Léonce_B.jpg
48.838244625,2.178574511,Avenue  André  Guillaume   /  Boulevard  Raymond  Poincaré  D907 / Avenue  André  Guillaume   /  Rue  Pasteur / Rue  Pasteur  /  Boulevard  Raymond  Poincaré  D907,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\026_Avenue_André_Guillaume_Boulevard_Raymond_Poincaré_D907_Avenu.jpg
48.841306214,2.17958393,Avenue  de  Brétigny  /  Avenue  Brézin / Avenue  Henri  Bergson  /  Avenue  Brézin / Avenue  Henri  Bergson  /  Avenue  de  Brétigny,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\027_Avenue_de_Brétigny_Avenue_Brézin_Avenue_Henri_Bergson_Avenue.jpg
48.84110189,2.181674192,Avenue  Henri  Bergson  /  Grande  Rue  / Avenue  Henri  Bergson  /  Rue  Pasteur / Rue  de  Marnes  /  Avenue  Henri  Bergson,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\028_Avenue_Henri_Bergson_Grande_Rue_Avenue_Henri_Bergson_Rue_Pas.jpg
48.841659417,2.182423611,Avenue  de  la  Bedoyere  /  Grande  Rue ,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\029_Avenue_de_la_Bedoyere_Grande_Rue.jpg
48.838590867,2.186578897,Avenue  Joffre  /  Avenue  Pasteur / Avenue  Joffre  /  Boulevard   du  Général  de  Gaulle  D907 / Avenue  Pasteur  /  Avenue  Joffre / Avenue  Pasteur  /  Boulevard   du  Général  de  Gaulle  D907 / Avenue  Pasteur  /  Place  de  la  Gare / Boulevard   du  Général  de  Gaulle  D907  /  Avenue  Joffre / Boulevard   du  Général  de  Gaulle  D907  /  Avenue  Pasteur / Boulevard   du  Général  de  Gaulle  D907  /  Place  de  la  Gare / Place  de  la  Gare  /  Avenue  Joffre / Place  de  la  Gare  /  Avenue  Pasteur,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\030_Avenue_Joffre_Avenue_Pasteur_Avenue_Joffre_Boulevard_du_Géné.jpg
48.838378036,2.185179691,Boulevard   du  Général  de  Gaulle  D907  /  Boulevard  Raymond  Poincaré  D907,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\031_Boulevard_du_Général_de_Gaulle_D907_Boulevard_Raymond_Poinca.jpg
48.839978629,2.185739669,Avenue  Joffre  /  Avenue  Foch / Avenue  Joffre  /  Rue  de  Villeneuve / Rue  de  Villeneuve  /  Avenue  Foch / Rue  de  Villeneuve  /  Avenue  Joffre,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\032_Avenue_Joffre_Avenue_Foch_Avenue_Joffre_Rue_de_Villeneuve_Ru.jpg
48.840157822,2.186800801,Rue  de  Villeneuve  /  Avenue  de  Lorraine,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\033_Rue_de_Villeneuve_Avenue_de_Lorraine.jpg
48.840938427,2.185932618,Rue  Civiale  /  Avenue  Foch,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\034_Rue_Civiale_Avenue_Foch.jpg
48.839265104,2.18863408,Boulevard   du  Général  de  Gaulle  D907  /  Rue  Frédéric Clément ,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\035_Boulevard_du_Général_de_Gaulle_D907_Rue_Frédéric_Clément.jpg
