lat,lon,nom,image
48.885064527,2.258719047,Avenue Charles de Gaulle / Rue de Longchamp,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Neuilly_sur_Seine_2026-06-25_10-27-44\fichier_analyse_Neuilly_sur_Seine_019.jpg
48.883529953,2.265199255,Avenue Charles de Gaulle / Rue des Huissiers,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Neuilly_sur_Seine_2026-06-25_10-27-44\fichier_analyse_Neuilly_sur_Seine_020.jpg
48.885588939,2.257078115,Avenue Charles de Gaulle / Rue du G̩n̩ral Lanrezac,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Neuilly_sur_Seine_2026-06-25_10-27-44\fichier_analyse_Neuilly_sur_Seine_021.jpg
48.879282942,2.278487451,Avenue Charles de Gaulle / Rue Montrosier,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Neuilly_sur_Seine_2026-06-25_10-27-44\fichier_analyse_Neuilly_sur_Seine_022.jpg
48.878889028,2.278206825,Avenue Charles de Gaulle / Rue Raoul Nordling,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Neuilly_sur_Seine_2026-06-25_10-27-44\fichier_analyse_Neuilly_sur_Seine_023.jpg
48.883078374,2.266618775,Avenue Charles de Gaulle / Rue Rigaud,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Neuilly_sur_Seine_2026-06-25_10-27-44\fichier_analyse_Neuilly_sur_Seine_024.jpg
48.885665764,2.257079388,Avenue Charles de Gaulle / Tunnel de Neuilly N13,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Neuilly_sur_Seine_2026-06-25_10-27-44\fichier_analyse_Neuilly_sur_Seine_025.jpg
48.875637112,2.255929447,Avenue de Bretteville / Boulevard du Commandant Charcot,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Neuilly_sur_Seine_2026-06-25_10-27-44\fichier_analyse_Neuilly_sur_Seine_026.jpg
48.876267407,2.25205247,Avenue de Bretteville / Rue de Bagatelle,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Neuilly_sur_Seine_2026-06-25_10-27-44\fichier_analyse_Neuilly_sur_Seine_027.jpg
48.886536162,2.283476471,Avenue de la Porte de Villiers / Boulevard Bineau D908,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Neuilly_sur_Seine_2026-06-25_10-27-44\fichier_analyse_Neuilly_sur_Seine_028.jpg
48.884532055,2.260415905,Avenue de Madrid / Avenue Charles de Gaulle,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Neuilly_sur_Seine_2026-06-25_10-27-44\fichier_analyse_Neuilly_sur_Seine_029.jpg
48.881509887,2.258961426,Avenue de Madrid / Avenue du Parc Saint-James,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Neuilly_sur_Seine_2026-06-25_10-27-44\fichier_analyse_Neuilly_sur_Seine_030.jpg
48.880772728,2.258606457,Avenue de Madrid / Boulevard du Commandant Charcot,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Neuilly_sur_Seine_2026-06-25_10-27-44\fichier_analyse_Neuilly_sur_Seine_031.jpg
